no,disclosure_date,security_code,security_name,kind,market_segment
129,202201281330,37630,株式会社 プロシップ,四半期,プライム（内国株式）
130,202201281400,23310,綜合警備保障株式会社,四半期,プライム（内国株式）
131,202201281430,44620,石原ケミカル株式会社,四半期,プライム（内国株式）
132,202201281500,66630,太洋工業株式会社,通期,スタンダード（内国株式）
133,202201281500,79500,日本デコラックス株式会社,四半期,#N/A
134,202201281500,90370,株式会社ハマキョウレックス,四半期,プライム（内国株式）
135,202201281500,75590,ジーエフシー株式会社,四半期,スタンダード（内国株式）
136,202201281500,76710,Ｍ－ＡｍｉｄＡＨＤ,四半期,グロース（内国株式）
137,202201281500,67240,セイコーエプソン株式会社,四半期,プライム（内国株式）
138,202201281500,86010,株式会社 大和証券グループ本社,四半期,プライム（内国株式）
139,202201281500,49730,日本高純度化学,四半期,プライム（内国株式）
140,202201281500,22180,日糧製パン株式会社,四半期,#N/A
141,202201281500,13810,株式会社 アクシーズ,四半期,スタンダード（内国株式）
142,202201281500,85850,オリコ,四半期,プライム（内国株式）
143,202201281500,48380,株式会社 スペースシャワーネットワーク,四半期,スタンダード（内国株式）
144,202201281500,32750,ハウスコム株式会社,四半期,プライム（内国株式）
145,202201281500,43730,シンプレクス・ホールディングス株式会社,四半期,プライム（内国株式）
146,202201281500,53320,ＴＯＴＯ株式会社,四半期,プライム（内国株式）
147,202201281500,91430,ＳＧホールディングス,四半期,プライム（内国株式）
148,202201281510,75750,日本ライフライン株式会社,四半期,プライム（内国株式）
149,202201281510,74640,セフテック株式会社,四半期,スタンダード（内国株式）
150,202201281520,71020,日本車輌製造株式会社,四半期,プライム（内国株式）
151,202201281520,93070,杉村倉庫,四半期,スタンダード（内国株式）
152,202201281530,83030,株式会社 新生銀行,四半期,スタンダード（内国株式）
153,202201281530,75950,株式会社 アルゴグラフィックス,四半期,プライム（内国株式）
154,202201281530,77350,株式会社SCREENホールディングス,四半期,プライム（内国株式）
155,202201281530,99140,株式会社 植松商会,四半期,スタンダード（内国株式）
156,202201281530,27600,東京エレクトロン　デバイス株式会社,四半期,プライム（内国株式）
157,202201281540,63450,株式会社アイチコーポレーション,四半期,プライム（内国株式）
158,202201281600,63730,大同工業株式会社,四半期,スタンダード（内国株式）
159,202201281600,95360,西部ガスホールディングス株式会社,四半期,プライム（内国株式）
160,202201281600,49570,ヤスハラケミカル株式会社,四半期,スタンダード（内国株式）
161,202201281600,46850,株式会社菱友システムズ,四半期,スタンダード（内国株式）
162,202201281600,85370,株式会社 大光銀行,四半期,スタンダード（内国株式）
163,202201281600,64190,株式会社マースグループホールディングス,四半期,プライム（内国株式）
164,202201281600,72990,フジオーゼックス株式会社,四半期,スタンダード（内国株式）
165,202201281600,36480,ＡＧＳ株式会社,四半期,スタンダード（内国株式）
166,202201281600,86140,東洋証券株式会社,四半期,プライム（内国株式）
167,202201281600,96790,ホウライ株式会社,四半期,スタンダード（内国株式）
168,202201281630,97990,旭情報サービス株式会社,四半期,スタンダード（内国株式）
169,202201281650,80760,株式会社 カノークス,四半期,#N/A
170,202201281700,86990,澤田ホールディングス（株）,四半期,スタンダード（内国株式）
171,202201311100,31900,株式会社ホットマン,四半期,スタンダード（内国株式）
172,202201311130,59290,三和ホールディングス株式会社,四半期,プライム（内国株式）
173,202201311130,19730,ＮＥＣネッツエスアイ株式会社,四半期,プライム（内国株式）
174,202201311130,47090,株式会社 インフォメーション・ディベロプメント,四半期,プライム（内国株式）
175,202201311200,62920,株式会社 カワタ,四半期,スタンダード（内国株式）
176,202201311230,42050,日本ゼオン株式会社,四半期,プライム（内国株式）
177,202201311230,28750,東洋水産株式会社,四半期,プライム（内国株式）
178,202201311300,93010,三菱倉庫株式会社,四半期,プライム（内国株式）
179,202201311300,54400,共英製鋼株式会社,四半期,プライム（内国株式）
180,202201311300,43330,株式会社 東邦システムサイエンス,四半期,プライム（内国株式）
